instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,60,-739723.0,-740850.0,-739566.0,-739473.0,-739416.0,-738107.0,-738907.0
1,831,60,-651994.0,-650171.0,-650827.0,-649956.0,-651322.0,-652997.0,-651677.0
2,306,60,-561452.0,-561261.0,-561302.0,-561669.0,-561302.0,-561452.0,-559724.0
3,542,60,-672349.0,-673723.0,-673005.0,-672855.0,-673155.0,-671849.0,-669867.0
4,1,60,-601874.0,-601783.0,-602474.0,-599099.0,-602324.0,-602424.0,-598999.0
