instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,20,0,0,0.23856663703918457,0.39535021781921387,0.23139405250549316,0.1681678295135498,0.16368317604064941
1,831,20,0,0,0.03274726867675781,0.2616598606109619,0.03629708290100098,0.2084636688232422,0.34380435943603516
2,306,20,0,0,0.06008338928222656,1.5946176052093506,0.04943370819091797,1.5381569862365723,1.5304582118988037
3,542,20,0,0,0.03144431114196777,0.094635009765625,0.02216482162475586,0.0803978443145752,0.08341670036315918
4,1,20,0,0,0.057485103607177734,0.28478240966796875,0.060727834701538086,0.41307783126831055,0.27433037757873535
