instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,20,0,0,0.1693403720855713,0.04628467559814453,0.11858749389648438,0.016633033752441406,0.02501988410949707
1,831,20,0,0,0.05840897560119629,0.05490279197692871,0.060064077377319336,0.04436850547790527,0.048067569732666016
2,306,20,0,0,0.0737156867980957,0.11702466011047363,0.0662088394165039,0.14252305030822754,0.17626547813415527
3,542,20,0,0,0.05171680450439453,0.13405442237854004,0.05759739875793457,0.12053418159484863,0.13099956512451172
4,1,20,0,0,0.6943695545196533,0.4190852642059326,0.6446425914764404,0.46201467514038086,0.35445117950439453
