instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,20,0,0,0.40463757514953613,0.15540242195129395,0.391613245010376,0.0943763256072998,0.12068009376525879
1,831,20,0,0,0.13326621055603027,0.1156303882598877,0.10929322242736816,0.09708094596862793,0.13756155967712402
2,306,20,0,0,0.046892404556274414,0.12016534805297852,0.05373024940490723,0.14922785758972168,0.1719825267791748
3,542,20,0,0,0.07917618751525879,0.14851784706115723,0.0657949447631836,0.14202189445495605,0.14905428886413574
4,1,20,0,0,0.9972655773162842,0.6315295696258545,0.9143106937408447,0.6354541778564453,0.509812593460083
