instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,60,0.008509162246197438,0.007359065463158145,0.006314930094907643,0.007955115574632972,0.0059643661772548675,0.009530682081733998,0.009129694841728521
1,831,60,0.007007733199998773,0.00979588446731706,0.007640596260675159,0.009769099484399486,0.007128366258860204,0.005873651571579038,0.007851581773872926
2,306,60,0.009097565821214368,0.009159731390565173,0.0,0.006927567659956309,0.0,0.008466629965307452,0.009300971323458095
3,542,60,0.008929708243456291,0.007126074069016495,0.0,0.0063615838248961476,1e+100,0.007265025325631206,0.009981085797628485
4,1,60,0.004876031136241682,0.005194510076128622,0.0,0.009696227167796976,0.0,0.00406856300545795,0.009769632336614919
