instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,20,0,0,0.22301340103149414,0.35015177726745605,0.20781445503234863,0.15595173835754395,0.17793726921081543
1,831,20,0,0,0.05501985549926758,0.3324398994445801,0.06504940986633301,0.2354295253753662,0.3317856788635254
2,306,20,0,0,0.042641639709472656,1.402644395828247,0.0332338809967041,1.3851447105407715,1.3658771514892578
3,542,20,0,0,0.02110433578491211,0.07863903045654297,0.015336275100708008,0.05403780937194824,0.07022333145141602
4,1,20,0,0,0.06104302406311035,0.2751119136810303,0.0563356876373291,0.3948647975921631,0.30039334297180176
