instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,20,0,0,0.196044921875,0.0931553840637207,2.034850597381592,0.044788360595703125,0.010517358779907227
1,831,20,0,0,0.05433511734008789,0.04417014122009277,0.061093807220458984,0.03151702880859375,0.03111433982849121
2,306,20,0,0,0.06780624389648438,0.08054947853088379,0.06709694862365723,0.1317276954650879,0.14385652542114258
3,542,20,0,0,0.06923818588256836,0.14625883102416992,0.04883837699890137,0.1518092155456543,0.13643264770507812
4,1,20,0,0,0.6664578914642334,0.4033167362213135,0.6435527801513672,0.45575737953186035,0.29924917221069336
