instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,5,0.3461174964904785,1.1050150394439697,0.03158998489379883,0.061308860778808594,0.02837514877319336,0.07872200012207031,0.06784439086914062
1,831,5,0.13551115989685059,0.20650458335876465,0.07196593284606934,0.05653977394104004,0.0779275894165039,0.06321835517883301,0.05771994590759277
2,306,5,0.13053154945373535,0.7633309364318848,0.01100921630859375,0.03045821189880371,0.0025086402893066406,0.02902698516845703,0.041174888610839844
3,542,5,0.11032271385192871,0.06397771835327148,0.06751179695129395,0.07343935966491699,0.05839705467224121,0.06481575965881348,0.07817316055297852
4,1,5,0.07280659675598145,0.3693206310272217,0.013506412506103516,0.022897005081176758,0.0040056705474853516,0.018021106719970703,0.01985621452331543
