instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,20,0.009921035997445943,0.009809932556713672,0.0,0.003786581481920114,0.0,0.009891142711840403,0.009746300075318171
1,831,20,0.00995678828387756,0.006255685173068637,0.0,0.009157645755199454,0.0,0.00882735254006137,0.009008271961634527
2,306,20,0.009255767247215772,0.0094284325174142,0.0,0.009001313164818088,0.0,0.008983137873218253,0.0090331199251178
3,542,20,0.009819678804181336,0.009874779393226321,0.0,0.008756200745182676,0.0,0.008756200745182676,0.008756200745182676
4,1,20,0.009421904699482205,0.009782394966245002,0.0,0.00924575604640493,0.0,0.00975370327138808,0.00928672084944399
