instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,80,0.009252765869793478,0.008622584253393977,0.004380272207906228,0.012164146060426399,0.009872637145306545,0.009173077770837952,0.005671334385580687
1,831,80,0.007589834792421281,0.008000067630231894,0.0,0.009247802414094366,0.0,0.007756257186481312,0.008198386537437508
2,306,80,0.006126221086837453,0.009899276243994832,0.005255495723629256,0.009997121848573175,0.005255495723629256,0.009998469596062482,0.005977441118709233
3,542,80,0.008353298509353945,0.008158689381647738,0.0,0.009481402000562116,0.0,0.006880245479687562,0.00900975865306164
4,1,80,0.00805350279530235,0.009226297498634408,0.006544826809772207,0.008261798036006395,0.006546464633825903,0.009353010353649143,0.008297165376032214
