instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,40,0.009533151465714871,0.001013612215815928,0.009052057405063419,0.009969070206058653,0.009042747349591726,0.011210240185017144,0.011037381376752252
1,831,40,0.009788476083080543,0.003820551029509338,1e+100,0.009465328002758327,1e+100,0.008636551167916492,0.009561124513926175
2,306,40,0.007686350990908308,0.007699191467490418,0.0,0.005973348073327997,0.0,0.005973348073327997,0.005973348073327997
3,542,40,0.008450628865248543,0.0062038290090850445,0.0,0.008436931989385795,0.0,0.008436931989385795,0.008436931989385795
4,1,40,0.009564171582383598,0.00792822502908012,0.0,0.009994860099319491,0.00851479356662265,0.009731003005455636,0.009808193663891953
