instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,80,-951735.0,-951902.0,-951809.0,-948632.0,-951809.0,-951822.0,-954843.0
1,831,80,-827686.0,-826993.0000697139,-827036.0,-826086.0,-827636.0,-827636.0,-827186.0
2,306,80,-800315.0,-797230.0,-800303.0,-796269.0,-800303.0,-796219.0,-800384.0
3,542,80,-887451.0,-887520.0,-886998.0,-884977.0,-887207.0,-887401.0,-885186.0
4,1,80,-804743.0,-803681.0,-804642.0,-804343.0,-804442.0,-802907.0,-804203.0
