instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,80,-957258.0,-959091.0,-959591.0,-948632.0,-959591.0,-957158.0,-955093.0
1,831,80,-830774.0,-832624.0,-833293.0,-829544.0,-833293.0,-830028.0,-827186.0
2,306,80,-801771.0,-803513.0,-803663.0,-800453.0,-803663.0,-798478.0,-801133.0
3,542,80,-892084.0,-892173.0,-892573.0,-889573.0,-892573.0,-889273.0,-890231.0
4,1,80,-806619.0,-808385.0,-809624.0,-805178.0,-809624.0,-805027.0,-804203.0
