instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,60,0,0,11.565849304199219,16.096439599990845,6.850622892379761,42.14098620414734,11.703168630599976
1,831,60,0,0,12.437482118606567,16.651670217514038,19.643437385559082,7.924123525619507,11.33582878112793
2,306,60,0,0,11.657044410705566,3.073641777038574,0.26956844329833984,2.1871144771575928,5.120279788970947
3,542,60,0,0,178.11446690559387,20.028990507125854,105.02386355400085,78.41407680511475,43.08308410644531
4,1,60,0,0,0.8543524742126465,0.6514661312103271,1.4119038581848145,4.721106290817261,1.740438461303711
