instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,40,0,0,23.778484106063843,8.340447425842285,43.35108399391174,777.2569544315338,627.9030749797821
1,831,40,0,0,753.8988656997681,105.75054264068604,837.3787207603455,111.83108973503113,9.379619836807251
2,306,40,0,0,0.07500338554382324,0.0428617000579834,0.06297850608825684,0.07261514663696289,0.0980682373046875
3,542,40,0,0,0.44126129150390625,0.01564478874206543,0.15166497230529785,0.009536027908325195,0.020955324172973633
4,1,40,0,0,50.815826416015625,0.42360687255859375,131.46479487419128,4.888340711593628,0.7317960262298584
