instance,seed,num_patients,MIP,Network,iLBBD1,cLBBD1,iLBBD2p,cLBBD2p,cLBBD4p
0,42,20,0,0,0.53009033203125,0.9170639514923096,0.5490212440490723,0.39005494117736816,0.3831455707550049
1,831,20,0,0,0.10366320610046387,0.5489077568054199,0.09651756286621094,0.46996212005615234,0.633760929107666
2,306,20,0,0,0.04991269111633301,1.3228838443756104,0.04071474075317383,1.3225603103637695,1.316654920578003
3,542,20,0,0,0.026845693588256836,0.1052706241607666,0.021015405654907227,0.09734654426574707,0.1043863296508789
4,1,20,0,0,0.0682976245880127,0.40911221504211426,0.06147432327270508,0.6182115077972412,0.4261186122894287
